ingest_timestamp,sms_id,sighting_index,report_time,species,pod,direction,location_desc,place_a,place_b,lat,lon,location_method,confidence,notes,raw_text
5/25/2025,4fccb016313a3749,1,,Humpback Whale,Unknown,northbound,past Olalla Bay Market,Colvos Passage,,47.47,-122.43,exact_water,1,,Orca Network: Humpback whale northbound in Colvos Passage past Olalla Bay Market
5/27/2025,98eb711457c7efcc,1,,Humpback Whale,Unknown,southbound,in the northbound shipping lanes between Eagle Harbor & downtown Seattle,Wing Point Bainbridge,Elliott Bay,47.6190135,-122.3935685,between_midpoint,0.9,Approximating Eagle Harbor to Wing Point Bainbridge as Wing Point at entrance to Eagle Harbor and downtown Seattle to Elliott Bay.,Orca Network: Good morning! Two humpbacks southbound in the northbound shipping lanes between Eagle Harbor & downtown Seattle
5/27/2025,94c3fef55158c5bf,1,,Orca,Unknown,northwest,off Point No Point,South of Point No Point on Kitsap side,,47.78136512,-122.423314,exact_water,1,,Orca Network: 1 orca off Point No Point headed northwest
5/27/2025,a6531e7665b742ab,1,,Humpback Whale,Unknown,unknown,between Bainbridge/ Seattle ferry lanes & Alki Point,Elliott Bay,Wing Point Bainbridge,47.6190135,-122.3935685,between_midpoint,0.9,some surface activity,"Orca Network: 2 humpbacks between Bainbridge/ Seattle ferry lanes & Alki Point, some surface activity"
5/27/2025,56cb3d44ffa175ea,1,,Orca,Biggs,southeast,"passing through the BAIN/SEA ferry lanes, west side of channel",Elliott Bay,,47.619127,-122.412137,exact_water,0.8,"likely T65A5/ Indy, moving fast","Orca Network: Surface active orca, likely T65A5/ Indy passing through the BAIN/SEA ferry lanes, west side of channel, headed south/east, moving fast"
5/27/2025,4d8e1bb19d66758d,1,,Orca,Biggs,unknown,northwest of,Smith Island,,48.259207,-122.551041,exact_water,0.8,"T100Bs and T101s (eastern Strait of Juan De Fuca), may or may not end up headed towards Admiralty","Orca Network: T100Bs and T101s are northwest of Smith Island (eastern Strait of Juan De Fuca) unknown direction, may or may not end up headed towards Admiralty"
5/27/2025,d6e010e0f7e7871b,1,,Humpback Whale,Unknown,northbound,passing,Edmonds Marina Beach Park (near Edmonds/Kingston ferry lanes),,47.802532,-122.442055,exact_water,1,mid channel,"Orca Network: Two humpbacks headed northbound, mid channel, passing Edmonds Marina"
5/29/2025,196db58d1373e402,1,,Gray whale,Unknown,unknown,half mile east of the north end,Half mile east of the north end of Vashon Island ferry terminal,,47.44383946,-122.4115146,exact_water,1,"no direction. If anyone can confirm species, we'd appreciate it!","Orca Network: Gray whale half mile east of the north end Vashon Island ferry terminal, no direction. If anyone can confirm species, we'd appreciate it!"
5/30/2025,28f42bd01f265497,1,,Orca,Unknown,southbound,off of,Edmonds Marina Beach Park (near Edmonds/Kingston ferry lanes),,47.802532,-122.452055,exact_water,0.8,At least 2 orcas. They will likely be further south by now if they kept course.,"Orca Network: At least 2 orcas were southbound off of Edmonds Marina. They will likely be further south by now if they kept course, please let us know if you see them! Orca Network:"
5/30/2025,96029a2f4120a68e,1,,Humpback Whale,Unknown,eastbound,headed east towards,Commencement Bay,,47.26,-122.408,exact_water,1,in Tacoma,Orca Network: Humpback whale in Tacoma headed east towards Commencement Bay
5/30/2025,d5888981f71da8a4,1,,Humpback Whale,Unknown,eastbound,headed east towards Commencement Bay,Commencement Bay,,47.26,-122.408,exact_water,1,in Tacoma,Orca Network: Humpback whale in Tacoma headed east towards Commencement Bay
5/30/2025,412b7825878281fc,1,,Orca,Biggs,northbound,passing Mukilteo,Possession Sound near Mukilteo/Clinton ferry lanes,,47.9082767,-122.4841263,exact_water,1,T65As,Orca Network: T65As northbound passing Mukilteo
5/30/2025,c44f3b9e1fdc4d72,1,,Humpback Whale,Unknown,unknown,in,Commencement Bay,Commencement Bay near the port of Tacoma,47.2624,-122.40795,between_midpoint,0.9,,Orca Network: Humpback in Commencement Bay near the port of Tacoma
5/30/2025,016fc3d2a92302ce,1,,Orca,Unknown,unknown,near Quartermaster,Vashon Island,,47.42636973,-122.4215645,exact_water,0.75,second hand report of single orca,"Orca Network: second hand report of single orca near Quartermaster, Vashon"
5/30/2025,2e4b2fc20736daa3,1,,Orca,Biggs,northbound,east of midchannel,Saratoga Passage,Northbound in Saratoga Passage past McKees Beach,48.14426339,-122.5162531,between_midpoint,0.8,T65As (minus A3 and A5) in Port Susan,"Orca Network: T65As (minus A3 and A5) northbound in Port Susan past McKees Beach, east of midchannel"
5/30/2025,99fae93ccaa9248b,1,,Humpback Whale,Unknown,southbound,east of midchannel,North of Three Tree Point (near Vashon/East Passage),,47.53394762,-122.4331023,exact_water,0.8,Possible,"Orca Network: Possible humpback southbound past Three Tree Point, east of midchannel"
5/31/2025,3a48d3e4050df700,1,,Orca,Unknown,southbound,close to shore at,Off Lagoon Point (Whidbey) close to shore,,48.0575,-122.5139,exact_water,1,Long downtimes,"Orca Network: 3 orcas southbound close to shore at Lagoon Point, Whidbey. Long downtimes"
5/31/2025,2c106611443463e2,1,,Orca,Unknown,unknown,"in Agate Passage, heading towards Port Orchard",Wing Point Bainbridge,,47.6189,-122.375,exact_water,0.8,Agate Passage toward Port Madison (Wing Point Bainbridge),"Orca Network: Orcas in Agate Passage, heading towards Port Orchard"
5/31/2025,344949533a0dab1f,1,,Orca,Unknown,unknown,milling off,Central Puget Sound near Restoration Point,,47.6289,-122.49,exact_water,1,Single orca,Orca Network: Single orca milling off Restoration Point on the south end of Bainbridge
5/31/2025,70ba496ba42fbc47,1,,Orca,Biggs,northbound,across from Bachmann Park,Sinclair Inlet (near Elliott Bay),,47.61912692,-122.4121374,exact_water,1,T65As,Orca Network: T65As northbound in Sinclair Inlet across from Bachmann Park
5/31/2025,e81ff3ec14aad8a0,1,,Orca,Biggs,southbound,midchannel south of Eglon,Eglon,,47.8551,-122.4651768,exact_water,1,T124A2s,Orca Network: T124A2s southbound midchannel south of Eglon
5/31/2025,3f9e2830621e3c44,1,,Gray whale,Unknown,southeast,milling southeast of Hat Island,Hat Island,,47.9342,-122.4627,exact_water,1,,"Orca Network: 2 grays milling southeast of Hat Island; Reminder: Do not reply to this number. To submit reports, email sightings@orcanetwork.org or contact us on Facebook"
5/31/2025,c7fd86405b14e865,1,,Orca,Biggs,southbound,"out of Rich Passage, heading towards",Blake Island,Manchester,47.5247425,-122.4561628,between_midpoint,1,T65As (all six!),"Orca Network: T65As (all six!) southbound out of Rich Passage, heading towards Colby (south of Manchester)"
5/31/2025,8a54d9d71798b7da,1,,Orca,Unknown,eastbound,east of Chito Beach Resort/ Shipwreck Pt close to shore,Western Strait of Juan de Fuca,,48.3,-123.99,exact_water,0.9,"4-5 orcas, including 1 male with a notch in fin","Orca Network: 4-5 orcas, including 1 male with a notch in fin, eastbound close to shore in the western Strait of Juan de Fuca east of Chito Beach Resort/ Shipwreck Pt"
5/31/2025,a41eeb62d5070f67,1,,Orca,Biggs,southbound,approaching West Point lighthouse,Golden Gardens,,47.67614732,-122.43283,exact_water,1,surface active on a hunt,"Orca Network: T124A2s southbound approaching West Point lighthouse, surface active on a hunt"
5/31/2025,47c9ef9f5ce8247a,1,,Orca,Biggs,southbound,west of midchannel,Colvos Passage,Southworth,47.504028,-122.44565,between_midpoint,1,T65As,"Orca Network: T65As southbound into Colvos Passage past Southworth, west of midchannel"
5/31/2025,3be484124c74aeb6,1,,Gray whale,Unknown,northwest,east of Hat Island,Possession Sound,,47.94665,-122.2679,exact_water,1,"trending northwest, some surface activity; CRC53 and CRC2356","Orca Network: Gray whales CRC53 and CRC2356 east of Hat Island in Possession Sound, trending northwest, some surface activity"
5/31/2025,bf54de0bee35fec6,1,,Orca,Biggs,westbound,past Alki Beach pier,Elliott Bay,,47.619127,-122.412137,exact_water,1,T124A2s,Orca Network: T124A2s westbound in Elliott Bay past Alki Beach pier
5/31/2025,1b2945b37d3eb8d0,1,,Orca,Biggs,southbound,past Olalla Bay Market,Colvos Passage,,47.47,-122.43,exact_water,1,"T65As, some surface activity and tail slaps, picking up speed","Orca Network: T65As southbound in Colvos Passage past Olalla Bay Market, some surface activity and tail slaps, picking up speed"
5/31/2025,3f08444adead5b3f,1,,Orca,Biggs,southbound,entering,Tacoma Narrows,Gig Harbor,47.30295,-122.50105,between_midpoint,0.9,T65A5 southbound past Gig Harbor entering Tacoma Narrows,"Orca Network: T65A5 southbound past Gig Harbor entering Tacoma Narrows; the rest of the T65As are trailing just south of Sunrise Beach Park, southbound"
5/31/2025,3f08444adead5b3f,2,,Orca,Biggs,southbound,just south of,Sunrise Beach,,47.32860233,-122.4808,exact_water,0.8,the rest of the T65As are trailing,"Orca Network: T65A5 southbound past Gig Harbor entering Tacoma Narrows; the rest of the T65As are trailing just south of Sunrise Beach Park, southbound"
5/31/2025,895e256f7dcee5a1,1,,Humpback Whale,Unknown,unknown,across from,Hood Canal near Triton Cove State Park,,47.6833,-122.8867,exact_water,1,east of midchannel,"Orca Network: Humpback whale in Hood Canal across from Triton Cove, east of midchannel, direction unknown"
5/31/2025,ce1133fae99f1fa0,1,,Orca,Biggs,southwest,on east side of,Blake Island,,47.538056,-122.4529336,exact_water,1,T124A2s,Orca Network: T124A2s on east side of Blake Island trending southwest
6/1/2025,bfeb1082038e16ef,1,,Orca,Unknown,unknown,just south of,Southworth Ferry Terminal / Vashon,,47.43383946,-122.4215146,exact_water,0.8,milling,"Orca Network: At least one orca reported just south of the Southworth Ferry Terminal, milling. Earlier at 6am, 6-8 orcas were northbound in Colvos Passage, spread out, passing Anderson Point"
6/1/2025,2c8e74fbb35070c4,1,,Orca,Unknown,northbound,midchannel off Shilshole Marina,South of Shilshole Bay Marina near Ray's Boathouse,,47.6993,-122.4442,exact_water,0.8,"Species unconfirmed, possibly the orcas from earlier","Orca Network: Splashes midchannel off Shilshole Marina, northbound. Species unconfirmed, possibly the orcas from earlier"
6/1/2025,a98795098688847b,1,,Orca,Biggs,northbound,past,Admiralty Inlet,,47.95,-122.506,exact_water,1,"T65As (minus T65A5), were spread out, several close to shore","Orca Network: T65As (minus T65A5) northbound past Fort Casey, were spread out, several close to shore"
6/1/2025,bb5bbef2c58ea74e,1,,Humpback Whale,Unknown,southbound,through ferry lanes at north end of,Vashon Island,,47.42636973,-122.4215645,exact_water,0.8,Likely,Orca Network: Likely humpback southbound through ferry lanes at north end of Vashon
5/22/2025,20a205598d2d1f23,1,,Orca,Biggs,westbound,nearing,Tahlequah/Point Defiance ferry lanes,,47.3387,-122.4384,exact_water,1,"T49A2, T100s, T124A2s, & T124Ds","Orca Network: T49A2, T100s, T124A2s, & T124Ds westbound nearing Point Defiance ferry lanes"
5/22/2025,7eb792d7d61eabcd,1,,Orca,Biggs,northbound,into Carr Inlet past south end,Carr Inlet,Fox Island,47.31665,-122.56845,between_midpoint,0.9,past south end,Orca Network: T65A5 northbound into Carr Inlet past south end Fox Island
5/22/2025,1b73b08c00e0c943,1,,Orca,Biggs,unknown,milling in Dalco Passage between Sunrise Beach & Point Defiance,Sunrise Beach,Pt. Defiance,47.34245117,-122.4729,between_midpoint,1,"T49A2, T100s, T124A2s, & T124Ds","Orca Network: T49A2, T100s, T124A2s, & T124Ds have been milling in Dalco Passage between Sunrise Beach & Point Defiance"
5/23/2025,3e51667c0175e2f6,1,,Orca,Unknown,northbound,in the shipping lanes west of Elliot Bay,Elliott Bay,,47.619127,-122.422137,exact_water,1,3-4 orcas,Orca Network: 3-4 orcas northbound in the shipping lanes west of Elliot Bay
5/23/2025,cf319d1e679c24bc,1,,Orca,Unknown,unknown,in Henderson Bay,Carr Inlet,,47.335,-122.565,exact_water,0.9,,"Orca Network: 2 orcas in Henderson Bay Carr Inlet; Reminder: If you are on the Henderson Bay, Carr Inlet; Reminder: If you are on the water - slow to under 7 knots within 1/2 mile of any whales, stay a minimum of 200 yards away from Bigg's orcas, and stay parallel to their path"
5/23/2025,06dc7ce257f2de62,1,,Orca,Unknown,northbound,east of midchannel out from,Golden Gardens,,47.67614732,-122.43283,exact_water,1,,Orca Network: Orcas northbound east of midchannel out from Golden Gardens
5/23/2025,c3c767959374c1fa,1,,Gray whale,Unknown,northbound,north of Indian Beach,Saratoga Passage,,48.15426339,-122.5462531,exact_water,1,Camano,"Orca Network: Gray northbound in Saratoga Passage north of Indian Beach, Camano"
5/23/2025,bc230ca3aa3890d4,1,,Orca,Biggs,northbound,past Stamm Overlook Park,Carkeek Park,,47.68908815,-122.4036555,exact_water,0.9,"T49A2, T100s, and members of the T124As","Orca Network: T49A2, T100s, and members of the T124As northbound past Stamm Overlook Park"
5/23/2025,c06ecf65a6c78832,1,,Humpback Whale,Unknown,unknown,near Tahlequah ferry terminal at south end of,Vashon Island,,47.42636973,-122.4215645,exact_water,1,,"Orca Network: Humpback near Tahlequah ferry terminal at south end of Vashon Island, no direction given"
5/23/2025,eb147d224035f5aa,1,,Orca,Biggs,southbound,"half-mile south of Purdy Spit boat ramp, trending south across Henderson Bay toward Key Peninsula side",Case Inlet,Case Inlet near Herron Island and Key Peninsula,47.3276,-122.73225,between_midpoint,0.8,Likely T65A5,"Orca Network: Likely T65A5 half-mile south of Purdy Spit boat ramp, trending south across Henderson Bay toward Key Peninsula side"
5/24/2025,82ed0b18fcb4aaa2,1,,Orca,Biggs,southbound,between Hat Island and Whidbey,Hat Island,Holmes Harbor,47.99499785,-122.5006987,between_midpoint,0.9,,"Orca Network: Bigg's orcas southbound between Hat Island and Whidbey, T49A2 close to shore at northwest Hat Island"
5/24/2025,82ed0b18fcb4aaa2,2,,Orca,T49A2,unknown,close to shore at northwest Hat Island,Hat Island,,47.9342,-122.4727,exact_water,0.8,northwest Hat Island,"Orca Network: Bigg's orcas southbound between Hat Island and Whidbey, T49A2 close to shore at northwest Hat Island"
5/24/2025,330b533f00c8c8da,1,,Gray whale,Unknown,unknown,off,Sunrise Beach,,47.33860233,-122.4708,exact_water,1,,"Orca Network: Gray whale off Sunrise Beach, Langley"
5/24/2025,7deaba80b248980f,1,,Humpback Whale,Unknown,southbound,north of,Manitou Beach,,47.5864,-122.4084,exact_water,1,"including CRC21605 Thunderbolt, slowly","Orca Network: 2 juvenile humpbacks, including CRC21605 Thunderbolt, slowly southbound north of Manitou Beach, Bainbridge"
5/24/2025,0e7b30f03dec90ae,1,,Humpback Whale,Unknown,southbound,past Brace Point in shipping lanes,Blake Island,,47.538056,-122.4529336,exact_water,0.8,Brace Point near Blake Island,Orca Network: Humpback southbound past Brace Point in shipping lanes
5/24/2025,6210ac60846259a3,1,,Humpback Whale,Unknown,unknown,near,Hood Canal Bridge,,47.8608551,-122.6112007,land_offshore_shift,1,no direction given,"Orca Network: Humpback near Hood Canal bridge, no direction given"
5/24/2025,f319c3f86d5fe9fc,1,,Orca,Biggs,southbound,"past Edmonds fishing pier, east of midchannel",Edmonds/Kingston ferry lanes,,47.802532,-122.452055,exact_water,0.8,some surface activity,"Orca Network: T49A2 and others southbound past Edmonds fishing pier, east of midchannel, some surface activity"
5/24/2025,9eb6a7def136bf88,1,,Humpback Whale,Unknown,unknown,midchannel near,Point Robinson,,47.39725,-122.43575,exact_water,0.75,Possible,Orca Network: Possible humpback reported midchannel near Point Robinson
5/24/2025,e954bd7495bf9fa8,1,,Orca,Biggs,southbound,"approaching Jefferson Head, east of midchannel",Jefferson Head,,47.702646,-122.423711,exact_water,1,T49A2 and others,"Orca Network: T49A2 and others southbound approaching Jefferson Head, east of midchannel"
5/24/2025,22f7a5a35e361ce9,1,,Humpback Whale,Unknown,northbound,south of Hamma Hamma,Hood Canal,,47.6983,-122.8669,exact_water,1,,Orca Network: Humpback northbound in Hood Canal south of Hamma Hamma
5/25/2025,4fccb016313a3749,1,,Humpback Whale,Unknown,northbound,past Olalla Bay Market,Colvos Passage,,47.47,-122.43,exact_water,1,,Orca Network: Humpback whale northbound in Colvos Passage past Olalla Bay Market
5/27/2025,98eb711457c7efcc,1,,Humpback Whale,Unknown,southbound,in the northbound shipping lanes between Eagle Harbor & downtown Seattle,Wing Point Bainbridge,Elliott Bay,47.6190135,-122.3935685,between_midpoint,0.9,Approximating Eagle Harbor with Wing Point Bainbridge.,Orca Network: Good morning! Two humpbacks southbound in the northbound shipping lanes between Eagle Harbor & downtown Seattle
5/27/2025,94c3fef55158c5bf,1,,Orca,Unknown,northwest,off Point No Point,South of Point No Point on Kitsap side,,47.78136512,-122.423314,exact_water,0.8,,Orca Network: 1 orca off Point No Point headed northwest
5/27/2025,a6531e7665b742ab,1,,Humpback Whale,Unknown,unknown,between Bainbridge/ Seattle ferry lanes & Alki Point,Elliott Bay,Wing Point Bainbridge,47.6190135,-122.3935685,between_midpoint,0.8,some surface activity,"Orca Network: 2 humpbacks between Bainbridge/ Seattle ferry lanes & Alki Point, some surface activity"
5/27/2025,56cb3d44ffa175ea,1,,Orca,Biggs,southbound,"passing through the BAIN/SEA ferry lanes, west side of channel, headed south/east",Elliott Bay,,47.619127,-122.412137,exact_water,0.8,"Surface active, likely T65A5/ Indy, moving fast","Orca Network: Surface active orca, likely T65A5/ Indy passing through the BAIN/SEA ferry lanes, west side of channel, headed south/east, moving fast"
5/27/2025,d6e010e0f7e7871b,1,,Humpback Whale,Unknown,northbound,"mid channel, passing",Edmonds Marina Beach Park (near Edmonds/Kingston ferry lanes),,47.802532,-122.442055,exact_water,1,,"Orca Network: Two humpbacks headed northbound, mid channel, passing Edmonds Marina"
5/29/2025,196db58d1373e402,1,,Gray whale,Unknown,unknown,half mile east of the north end,Half mile east of the north end of Vashon Island ferry terminal,,47.44383946,-122.4115146,exact_water,1,"If anyone can confirm species, we'd appreciate it!","Orca Network: Gray whale half mile east of the north end Vashon Island ferry terminal, no direction. If anyone can confirm species, we'd appreciate it!"
5/30/2025,28f42bd01f265497,1,,Orca,Unknown,southbound,off of,Edmonds Marina Beach Park (near Edmonds/Kingston ferry lanes),,47.802532,-122.452055,exact_water,1,"They will likely be further south by now if they kept course, please let us know if you see them!","Orca Network: At least 2 orcas were southbound off of Edmonds Marina. They will likely be further south by now if they kept course, please let us know if you see them! Orca Network:"
5/30/2025,96029a2f4120a68e,1,,Humpback Whale,Unknown,eastbound,towards,Commencement Bay,,47.26,-122.408,exact_water,1,in Tacoma,Orca Network: Humpback whale in Tacoma headed east towards Commencement Bay
5/30/2025,d5888981f71da8a4,1,,Humpback Whale,Unknown,eastbound,in Tacoma headed east towards,Commencement Bay,,47.26,-122.408,exact_water,1,,Orca Network: Humpback whale in Tacoma headed east towards Commencement Bay
5/30/2025,412b7825878281fc,1,,Orca,Biggs,northbound,passing,Possession Sound near Mukilteo/Clinton ferry lanes,,47.9082767,-122.4841263,exact_water,1,T65As,Orca Network: T65As northbound passing Mukilteo
5/30/2025,c44f3b9e1fdc4d72,1,,Humpback Whale,Unknown,unknown,in,Commencement Bay near the port of Tacoma,,47.2648,-122.4079,exact_water,1,,Orca Network: Humpback in Commencement Bay near the port of Tacoma
5/30/2025,016fc3d2a92302ce,1,,Orca,Unknown,unknown,near Quartermaster,Vashon Island,,47.42636973,-122.4215645,exact_water,0.7,second hand report of single orca,"Orca Network: second hand report of single orca near Quartermaster, Vashon"
5/30/2025,2e4b2fc20736daa3,1,,Orca,Biggs,northbound,east of midchannel,Saratoga Passage,Northbound in Saratoga Passage past McKees Beach,48.14426339,-122.5162531,between_midpoint,0.9,past McKees Beach,"Orca Network: T65As (minus A3 and A5) northbound in Port Susan past McKees Beach, east of midchannel"
5/30/2025,99fae93ccaa9248b,1,,Humpback Whale,Unknown,southbound,"past Three Tree Point, east of midchannel",North of Three Tree Point (near Vashon/East Passage),,47.53394762,-122.4331023,exact_water,0.8,Possible sighting,"Orca Network: Possible humpback southbound past Three Tree Point, east of midchannel"
5/31/2025,3a48d3e4050df700,1,,Orca,Unknown,southbound,close to shore,Off Lagoon Point (Whidbey) close to shore,,48.0575,-122.5139,exact_water,1,Long downtimes,"Orca Network: 3 orcas southbound close to shore at Lagoon Point, Whidbey. Long downtimes"
5/31/2025,2c106611443463e2,1,,Orca,Unknown,unknown,"in Agate Passage, heading towards Port Orchard",Wing Point Bainbridge,,47.6189,-122.375,exact_water,0.8,,"Orca Network: Orcas in Agate Passage, heading towards Port Orchard"
5/31/2025,344949533a0dab1f,1,,Orca,Unknown,unknown,milling off,Central Puget Sound near Restoration Point,,47.6289,-122.49,exact_water,1,Single orca,Orca Network: Single orca milling off Restoration Point on the south end of Bainbridge
5/31/2025,70ba496ba42fbc47,1,,Orca,Biggs,northbound,in Sinclair Inlet across from Bachmann Park,Sinclair Inlet (near Elliott Bay),,47.61912692,-122.4121374,exact_water,1,,Orca Network: T65As northbound in Sinclair Inlet across from Bachmann Park
5/31/2025,e81ff3ec14aad8a0,1,,Orca,Biggs,southbound,midchannel south of,Eglon,,47.8551,-122.4651768,exact_water,1,T124A2s,Orca Network: T124A2s southbound midchannel south of Eglon
5/31/2025,3f9e2830621e3c44,1,,Gray whale,Unknown,southeast,milling southeast of Hat Island,Hat Island,,47.9342,-122.4627,exact_water,1,,"Orca Network: 2 grays milling southeast of Hat Island; Reminder: Do not reply to this number. To submit reports, email sightings@orcanetwork.org or contact us on Facebook"
5/31/2025,c7fd86405b14e865,1,,Orca,Biggs,southbound,out of,Rich Passage by Point Glover (Blake Island),,47.528056,-122.4813,exact_water,1,"T65As (all six!), heading towards Colby (south of Manchester)","Orca Network: T65As (all six!) southbound out of Rich Passage, heading towards Colby (south of Manchester)"
5/31/2025,a41eeb62d5070f67,1,,Orca,Biggs,southbound,approaching West Point lighthouse,Golden Gardens,,47.67614732,-122.43283,exact_water,0.8,surface active on a hunt,"Orca Network: T124A2s southbound approaching West Point lighthouse, surface active on a hunt"
5/31/2025,47c9ef9f5ce8247a,1,,Orca,Biggs,southbound,west of midchannel,Colvos Passage,Southworth,47.504028,-122.44565,between_midpoint,0.9,"into Colvos Passage past Southworth, west of midchannel","Orca Network: T65As southbound into Colvos Passage past Southworth, west of midchannel"
5/31/2025,3be484124c74aeb6,1,,Gray whale,Unknown,northwest,east of Hat Island,Possession Sound,,47.94665,-122.2679,exact_water,1,"CRC53 and CRC2356, trending northwest, some surface activity","Orca Network: Gray whales CRC53 and CRC2356 east of Hat Island in Possession Sound, trending northwest, some surface activity"
5/31/2025,bf54de0bee35fec6,1,,Orca,Biggs,westbound,past Alki Beach pier,Elliott Bay,,47.619127,-122.412137,exact_water,1,T124A2s,Orca Network: T124A2s westbound in Elliott Bay past Alki Beach pier
